Director_ID;Director
D0001;Aaron Blaise
D0002;Aaron Sorkin
D0003;Abby Kohn
D0004;Adam Brooks
D0005;Adam McKay
D0006;Adrian Molina
D0007;Akiva Schaffer
D0008;Alan Barillaro
D0009;Alan Crosland
D0010;Alan Parker
D0011;Albert Hughes
D0012;Alec Berg
D0013;Alejandro Amen†bar
D0014;Alejandro G. I§†rritu
D0015;Alessandro Carloni
D0016;Alex Garland
D0017;Alex Gregory
D0018;Alex Proyas
D0019;Alex van Warmerdam
D0020;Alexander Payne
D0021;Alfonso Cuar¢n
D0022;Alfonso Gomez-Rejon
D0023;Alfred Hitchcock
D0024;Allen Hughes
D0025;Andrew Adamson
D0026;Andrew Coats
D0027;Andrew Dominik
D0028;Andrew Jimenez
D0029;Andrew Niccol
D0030;Andrew Stanton
D0031;Andrew Waller
D0032;Andy Fickman
D0033;Andy Hamilton
D0034;Andy Muschietti
D0035;Andy Tennant
D0036;Ang Lee
D0037;Angus MacLane
D0038;Anna Boden
D0039;Anne Fletcher
D0040;Anthony Stacchi
D0041;Antoine Fuqua
D0042;Anton Corbijn
D0043;Armando Iannucci
D0044;Art Stevens
D0045;Asger Leth
D0046;Ash Brannon
D0047;Asif Kapadia
D0048;Atom Egoyan
D0049;Auguste Lumiäre
D0050;Ava DuVernay
D0051;Baltasar Korm†kur
D0052;Barry Cook
D0053;Barry Jenkins
D0054;Barry Levinson
D0055;Barry Sonnenfeld
D0056;Baz Luhrmann
D0057;Beeban Kidron
D0058;Ben Affleck
D0059;Ben Falcone
D0060;Ben Palmer
D0061;Ben Sharpsteen
D0062;Ben Stiller
D0063;Ben Younger
D0064;Bennett Miller
D0065;Bibo Bergeron
D0066;Bill Condon
D0067;Bill Roberts
D0068;Boaz Yakin
D0069;Bob Gosse
D0070;Bob Logan
D0071;Bob Peterson
D0072;Bobby Farrelly
D0073;Bobcat Goldthwait
D0074;Brad Anderson
D0075;Brad Bird
D0076;Brad Furman
D0077;Brad Lewis
D0078;Brad Silberling
D0079;Brenda Chapman
D0080;Brett Ratner
D0081;Brian De Palma
D0082;Brian Fee
D0083;Brian Helgeland
D0084;Brian Taylor
D0085;Bruce A. Evans
D0086;Bryan Singer
D0087;Burny Mattinson
D0088;Burr Steers
D0089;Buster Keaton
D0090;Byron Howard
D0091;Cameron Crowe
D0092;Carlos Saldanha
D0093;Cary Joji Fukunaga
D0094;Ceyda Torun
D0095;Chad Stahelski
D0096;Charles Chaplin
D0097;Charles Reisner
D0098;Charlie Bean
D0099;Chris Buck
D0100;Chris Columbus
D0101;Chris McKay
D0102;Chris Miller
D0103;Chris Noonan
D0104;Chris Renaud
D0105;Chris Sanders
D0106;Chris Wedge
D0107;Chris Weitz
D0108;Chris Williams
D0109;Christian Ditter
D0110;Christophe Lourdelet
D0111;Christopher Landon
D0112;Christopher McQuarrie
D0113;Christopher Miller
D0114;Christopher Nolan
D0115;Chuck Russell
D0116;Chuck Sheetz
D0117;Clark Johnson
D0118;Claude Barras
D0119;Clay Kaytis
D0120;Clint Eastwood
D0121;Clyde Geronimi
D0122;Colin Trevorrow
D0123;Conrad Vernon
D0124;Corey Yuen
D0125;Cory Edwards
D0126;Craig Gillespie
D0127;Craig Leeson
D0128;Curtis Hanson
D0129;D.J. Caruso
D0130;Dami†n Szifron
D0131;Damien Chazelle
D0132;Dan Gilroy
D0133;Dan Mazer
D0134;Dan Rush
D0135;Dan Scanlon
D0136;Dan Trachtenberg
D0137;Daniel Cohen
D0138;Daniel Espinosa
D0139;Daniel Ragussis
D0140;Danny Boyle
D0141;Danny Leiner
D0142;Darren Aronofsky
D0143;Dave McCary
D0144;David Ayer
D0145;David Bowers
D0146;David Cronenberg
D0147;David Dobkin
D0148;David Fincher
D0149;David Frankel
D0150;David Gelb
D0151;David Gordon Green
D0152;David Hand
D0153;David Leitch
D0154;David Lowery
D0155;David Lynch
D0156;David Mackenzie
D0157;David Mandel
D0158;David McNally
D0159;David Michener
D0160;David Michìd
D0161;David O. Russell
D0162;David Silverman
D0163;David Slade
D0164;David Soren
D0165;David Wain
D0166;David Yates
D0167;David Zucker
D0168;Dean DeBlois
D0169;Dean Parisot
D0170;Deb Hagan
D0171;Denis Villeneuve
D0172;Dennis Dugan
D0173;Dennis Gansel
D0174;Denzel Washington
D0175;Derek Cianfrance
D0176;Dexter Fletcher
D0177;Dito Montiel
D0178;Dominic Sena
D0179;Don Chaffey
D0180;Don Hall
D0181;Don Paul
D0182;Donald Petrie
D0183;Doug Ellin
D0184;Doug Liman
D0185;Doug Sweetland
D0186;Drew Goddard
D0187;Duncan Jones
D0188;Dylan Kidd
D0189;E.L. Katz
D0190;Edgar Wright
D0191;Edward Zwick
D0192;Eli Craig
D0193;Eli Roth
D0194;Elizabeth Banks
D0195;Elliott Lester
D0196;Emilis Velyvis
D0197;Enrico Casarosa
D0198;Eric Bernt
D0199;Eric Bress
D0200;Eric Darnell
D0201;Eric Goldberg
D0202;Eric Guillon
D0203;Eric Lartigau
D0204;êric Toledano
D0205;Ericson Core
D0206;Erik Van Looy
D0207;Espen Sandberg
D0208;Etan Cohen
D0209;Ethan Coen
D0210;Ethan Maniquis
D0211;Evan Goldberg
D0212;F. Gary Gray
D0213;Fergal Reilly
D0214;Fernando Meirelles
D0215;Florian Henckel von Donnersmarck
D0216;Francis Ford Coppola
D0217;Francis Lawrence
D0218;Frank Coraci
D0219;Frank Darabont
D0220;Frank Miller
D0221;Frank Oz
D0222;Fred Wolf
D0223;Gabriela Cowperthwaite
D0224;Gabriele Muccino
D0225;Garth Davis
D0226;Garth Jennings
D0227;Gary Fleder
D0228;Gary McKendry
D0229;Gary Ross
D0230;Gary Rydstrom
D0231;Gary Trousdale
D0232;Gary Winick
D0233;Gavin Hood
D0234;Gavin O'Connor
D0235;GÇla Babluani
D0236;George Clooney
D0237;George Cukor
D0238;George Miller
D0239;George Roy Hill
D0240;George Tillman Jr.
D0241;Georges MÇliäs
D0242;GÇrard Krawczyk
D0243;GÇrard Piräs
D0244;Gil Junger
D0245;Gil Kenan
D0246;Glenn Ficarra
D0247;Gore Verbinski
D0248;Graham Heid
D0249;Greg Coolidge
D0250;Greg Mottola
D0251;Greg Tiernan
D0252;Gregor Jordan
D0253;Gregory Hoblit
D0254;Gregory Jacobs
D0255;Gren Wells
D0256;Greta Gerwig
D0257;Guillermo del Toro
D0258;Gus Van Sant
D0259;Guy Hamilton
D0260;Guy Jenkin
D0261;Guy Ritchie
D0262;Hamilton Luske
D0263;Harold Ramis
D0264;Hayden Schlossberg
D0265;Hendel Butoy
D0266;Howard Deutch
D0267;Ivan Reitman
D0268;J. Mackye Gruber
D0269;J.A. Bayona
D0270;J.B. Rogers
D0271;J.C. Chandor
D0272;J.J. Abrams
D0273;Jack Kinney
D0274;Jake Kasdan
D0275;Jake Szymanski
D0276;James Algar
D0277;James Cameron
D0278;James Franco
D0279;James Gartner
D0280;James Gray
D0281;James Gunn
D0282;James L. Brooks
D0283;James Mangold
D0284;James Marsh
D0285;James McTeigue
D0286;James Vanderbilt
D0287;James Wan
D0288;James Watkins
D0289;James Wong
D0290;Jan de Bont
D0291;Jan Pinkava
D0292;Jared Bush
D0293;Jared Hess
D0294;Jason Bateman
D0295;Jason Moore
D0296;Jason Reitman
D0297;Jaume Collet-Serra
D0298;Jay Chandrasekhar
D0299;Jay Roach
D0300;Jean-Jacques Annaud
D0301;Jean-Marc VallÇe
D0302;Jeff Lowell
D0303;Jeff Nichols
D0304;Jeff Schaffer
D0305;Jeff Wadlow
D0306;Jeffrey Katzenberg
D0307;Jemaine Clement
D0308;Jennifer Lee
D0309;Jennifer Yuh Nelson
D0310;Jesse Dylan
D0311;Jessy Terrero
D0312;Jill Culton
D0313;Jim Capobianco
D0314;Jim Field Smith
D0315;Jim Jarmusch
D0316;Jim Rash
D0317;Jim Sheridan
D0318;Jim Taihuttu
D0319;Joachim Rõnning
D0320;Jodie Foster
D0321;Jody Hill
D0322;Joe Carnahan
D0323;Joe Johnston
D0324;Joe Nussbaum
D0325;Joe Ranft
D0326;Joe Swanberg
D0327;Joe Wright
D0328;Joel Coen
D0329;Joel Schumacher
D0330;Johan Timmers
D0331;Johannes Roberts
D0332;John Elliotte
D0333;John Francis Daley
D0334;John Frankenheimer
D0335;John G. Avildsen
D0336;John Hamburg
D0337;John Hillcoat
D0338;John Hughes
D0339;John Huston
D0340;John Krasinski
D0341;John Lasseter
D0342;John Lee Hancock
D0343;John Lounsbery
D0344;John Luessenhop
D0345;John Maclean
D0346;John McTiernan
D0347;John Michael McDonagh
D0348;John Moore
D0349;John Musker
D0350;John Pasquin
D0351;John Putch
D0352;John Requa
D0353;John Singleton
D0354;John Stevenson
D0355;John Wells
D0356;John Woo
D0357;Jon Avnet
D0358;Jon Favreau
D0359;Jon Hurwitz
D0360;Jon Lucas
D0361;Jon M. Chu
D0362;Jon Turteltaub
D0363;Jonathan Dayton
D0364;Jonathan Demme
D0365;Jonathan Glazer
D0366;Jonathan Goldstein
D0367;Jonathan Jakubowicz
D0368;Jonathan Levine
D0369;Jordan Peele
D0370;Jordan Vogt-Roberts
D0371;Jorma Taccone
D0372;Joseph Gordon-Levitt
D0373;Joseph Kosinski
D0374;Josh Cooley
D0375;Josh Gordon
D0376;Josh Stolberg
D0377;Joshua Michael Stern
D0378;Joss Whedon
D0379;Judd Apatow
D0380;Judy Morris
D0381;Julius Avery
D0382;Justin Kurzel
D0383;Justin Lin
D0384;Karey Kirkpatrick
D0385;Kathryn Bigelow
D0386;K†tia Lund
D0387;Keenen Ivory Wayans
D0388;Kelly Asbury
D0389;Ken Loach
D0390;Ken Scott
D0391;Kenneth Branagh
D0392;Kenneth Lonergan
D0393;Kevin Costner
D0394;Kevin Lima
D0395;Kevin Macdonald
D0396;Kevin Reynolds
D0397;Kevin Smith
D0398;Kieran Darcy-Smith
D0399;King Vidor
D0400;Kirk Wise
D0401;Kristian Levring
D0402;Kyle Balda
D0403;Lake Bell
D0404;Lana Wachowski
D0405;Larry Charles
D0406;Larry Morey
D0407;Lasse Hallstrîm
D0408;Lee Tamahori
D0409;Lee Unkrich
D0410;Len Wiseman
D0411;Lenny Abrahamson
D0412;Leslye Headland
D0413;Lev L. Spiro
D0414;Lewis Gilbert
D0415;Lexi Alexander
D0416;Liam Lynch
D0417;Lilly Wachowski
D0418;Lorna Cook
D0419;Lou Hamou-Lhadj
D0420;Louis Leterrier
D0421;Louis Lumiäre
D0422;Loveleen Tandan
D0423;Luc Besson
D0424;Luc Jacquet
D0425;Luca Guadagnino
D0426;Luke Greenfield
D0427;Luke Moran
D0428;Lynne Ramsay
D0429;M. Night Shyamalan
D0430;Maarten Treurniet
D0431;Macon Blair
D0432;Marc Forster
D0433;Marc Silverstein
D0434;Marc Webb
D0435;Marcos Siega
D0436;Marjane Satrapi
D0437;Mark Andrews
D0438;Mark Dindal
D0439;Mark Helfrich
D0440;Mark Herman
D0441;Mark Mylod
D0442;Mark Neveldine
D0443;Mark Osborne
D0444;Mark Steven Johnson
D0445;Mark Waters
D0446;Martin Brest
D0447;Martin Campbell
D0448;Martin Koolhoven
D0449;Martin McDonagh
D0450;Martin Scorsese
D0451;Mary Harron
D0452;Matt Brown
D0453;Matt Ross
D0454;Matthew Robinson
D0455;Matthew Vaughn
D0456;Max Nichols
D0457;Max Porcelijn
D0458;McG
D0459;Mel Gibson
D0460;Mervyn LeRoy
D0461;Michael Apted
D0462;Michael Bay
D0463;Michael Caton-Jones
D0464;Michael Cimino
D0465;Michael Curtiz
D0466;Michael Davis
D0467;Michael Dowse
D0468;Michael Dudok de Wit
D0469;Michael Grandage
D0470;Michael Lembeck
D0471;Michael Mann
D0472;Michael Moore
D0473;Michaâl R. Roskam
D0474;Michael Showalter
D0475;Michael Winterbottom
D0476;Michel Gondry
D0477;Mike Gabriel
D0478;Mike Mitchell
D0479;Mike Newell
D0480;Mike Thurmeier
D0481;Mike van Diem
D0482;Mike White
D0483;Milos Forman
D0484;Morgan Spurlock
D0485;Mort Nathan
D0486;Morten Tyldum
D0487;Nacho Vigalondo
D0488;Nancy Meyers
D0489;Nat Faxon
D0490;Nathan Greno
D0491;Neil Burger
D0492;Neill Blomkamp
D0493;Nicholas Ray
D0494;Nicholas Stoller
D0495;Nicholaus Goossen
D0496;Nick Cassavetes
D0497;Nick Park
D0498;Nicolas Winding Refn
D0499;Nicole van Kilsdonk
D0500;Niels Arden Oplev
D0501;Nigel Cole
D0502;Niki Caro
D0503;Nima Nourizadeh
D0504;Noah Baumbach
D0505;Noah Buschel
D0506;Noam Murro
D0507;Norman Ferguson
D0508;Norman Jewison
D0509;Norman Taurog
D0510;Norman Wright
D0511;Oliver Hirschbiegel
D0512;Oliver Parker
D0513;Oliver Stone
D0514;Olivier Megaton
D0515;Olivier Nakache
D0516;Orson Welles
D0517;Pablo Larra°n
D0518;Paolo Sorrentino
